Col,Row,Surface,Thickness,Bed
2595,1876,-9999,-9999,-299
2596,1876,-9999,-9999,-300
2597,1876,-9999,-9999,-300
2598,1876,-9999,-9999,-300
2599,1876,-9999,-9999,-299
2600,1876,-9999,-9999,-305
2601,1876,-9999,-9999,-323
2602,1876,-9999,-9999,-340
2603,1876,-9999,-9999,-349
2604,1876,-9999,-9999,-349
2605,1876,-9999,-9999,-350
2606,1876,-9999,-9999,-357
2607,1876,-9999,-9999,-360
2608,1876,-9999,-9999,-366
2609,1876,-9999,-9999,-377
2610,1876,-9999,-9999,-388
2611,1876,-9999,-9999,-399
2612,1876,-9999,-9999,-402
2613,1876,-9999,-9999,-405
2614,1876,-9999,-9999,-408
2615,1876,-9999,-9999,-410
2616,1876,-9999,-9999,-412
2617,1876,-9999,-9999,-417
2618,1876,-9999,-9999,-418
2619,1876,-9999,-9999,-422
2620,1876,-9999,-9999,-423
2621,1876,-9999,-9999,-429
2622,1876,-9999,-9999,-431
2623,1876,-9999,-9999,-437
2624,1876,-9999,-9999,-444
2625,1876,-9999,-9999,-450
2626,1876,-9999,-9999,-462
2627,1876,-9999,-9999,-470
2628,1876,-9999,-9999,-478
2629,1876,-9999,-9999,-485
2630,1876,-9999,-9999,-492
2631,1876,-9999,-9999,-498
2632,1876,-9999,-9999,-504
2633,1876,-9999,-9999,-509
2634,1876,-9999,-9999,-514
2635,1876,-9999,-9999,-519
2636,1876,-9999,-9999,-523
2637,1876,-9999,-9999,-527
2638,1876,-9999,-9999,-531
2639,1876,-9999,-9999,-535
2640,1876,14,62,-538
2641,1876,16,68,-540
2642,1876,17,73,-542
2643,1876,18,75,-543
2644,1876,19,76,-545
2645,1876,20,81,-545
2646,1876,22,97,-545
2647,1876,24,112,-545
2648,1876,25,118,-544
2649,1876,24,116,-543
2650,1876,25,118,-541
2651,1876,26,131,-539
2652,1876,28,148,-536
2653,1876,30,161,-533
2654,1876,29,155,-529
2655,1876,27,134,-526
2656,1876,25,111,-522
2657,1876,23,95,-519
2658,1876,23,91,-514
2659,1876,23,91,-510
2660,1876,23,93,-505
2661,1876,24,97,-500
2662,1876,24,102,-495
2663,1876,25,102,-490
2664,1876,26,112,-486
2665,1876,26,114,-482
2666,1876,26,112,-477
2667,1876,25,106,-472
2668,1876,24,94,-467
2669,1876,23,80,-462
2670,1876,21,65,-457
2671,1876,20,53,-453
2672,1876,19,46,-450
2673,1876,18,40,-445
2674,1876,18,41,-440
2675,1876,19,46,-436
2676,1876,20,52,-431
2677,1876,21,60,-427
2678,1876,22,77,-423
2679,1876,25,99,-419
2680,1876,27,122,-415
2681,1876,29,136,-410
2592,1877,-9999,-9999,-313
2593,1877,-9999,-9999,-302
2594,1877,-9999,-9999,-300
2595,1877,-9999,-9999,-300
2596,1877,-9999,-9999,-300
2597,1877,-9999,-9999,-300
2598,1877,-9999,-9999,-299
2599,1877,-9999,-9999,-298
2600,1877,-9999,-9999,-301
2601,1877,-9999,-9999,-317
2602,1877,-9999,-9999,-331
2603,1877,-9999,-9999,-340
2604,1877,-9999,-9999,-345
2605,1877,-9999,-9999,-349
2606,1877,-9999,-9999,-354
2607,1877,-9999,-9999,-358
2608,1877,-9999,-9999,-364
2609,1877,-9999,-9999,-375
2610,1877,-9999,-9999,-388
2611,1877,-9999,-9999,-400
2612,1877,-9999,-9999,-403
2613,1877,-9999,-9999,-408
2614,1877,-9999,-9999,-414
2615,1877,-9999,-9999,-415
2616,1877,-9999,-9999,-416
2617,1877,-9999,-9999,-422
2618,1877,-9999,-9999,-423
2619,1877,-9999,-9999,-429
2620,1877,-9999,-9999,-431
2621,1877,-9999,-9999,-440
2622,1877,-9999,-9999,-443
2623,1877,-9999,-9999,-448
2624,1877,-9999,-9999,-454
2625,1877,-9999,-9999,-460
2626,1877,-9999,-9999,-471
2627,1877,-9999,-9999,-478
2628,1877,-9999,-9999,-484
2629,1877,-9999,-9999,-490
2630,1877,-9999,-9999,-496
2631,1877,-9999,-9999,-502
2632,1877,-9999,-9999,-507
2633,1877,-9999,-9999,-513
2634,1877,-9999,-9999,-518
2635,1877,-9999,-9999,-522
2636,1877,-9999,-9999,-527
2637,1877,-9999,-9999,-531
2638,1877,-9999,-9999,-535
2639,1877,14,67,-539
2640,1877,16,74,-541
2641,1877,17,82,-544
2642,1877,19,89,-545
2643,1877,20,94,-547
2644,1877,21,98,-547
2645,1877,23,106,-547
2646,1877,24,122,-547
2647,1877,25,131,-546
2648,1877,25,129,-545
2649,1877,25,116,-543
2650,1877,24,110,-542
2651,1877,25,117,-539
2652,1877,27,130,-535
2653,1877,28,140,-532
2654,1877,27,135,-528
2655,1877,26,120,-524
2656,1877,24,106,-520
2657,1877,23,97,-516
2658,1877,23,95,-512
2659,1877,23,93,-507
2660,1877,23,90,-501
2661,1877,24,93,-496
2662,1877,24,96,-491
2663,1877,24,97,-486
2664,1877,25,101,-482
2665,1877,25,102,-478
2666,1877,25,99,-473
2667,1877,24,91,-468
2668,1877,23,81,-463
2669,1877,22,71,-458
2670,1877,21,60,-453
2671,1877,20,51,-449
2672,1877,19,45,-445
2673,1877,18,39,-441
2674,1877,18,39,-436
2675,1877,19,43,-432
2676,1877,19,47,-427
2677,1877,20,55,-423
2678,1877,22,70,-419
2679,1877,24,90,-414
2680,1877,26,109,-411
2681,1877,27,118,-407
2592,1878,-9999,-9999,-310
2593,1878,-9999,-9999,-300
2594,1878,-9999,-9999,-299
2595,1878,-9999,-9999,-300
2596,1878,-9999,-9999,-300
2597,1878,-9999,-9999,-300
2598,1878,-9999,-9999,-299
2599,1878,-9999,-9999,-298
2600,1878,-9999,-9999,-300
2601,1878,-9999,-9999,-312
2602,1878,-9999,-9999,-324
2603,1878,-9999,-9999,-333
2604,1878,-9999,-9999,-341
2605,1878,-9999,-9999,-346
2606,1878,-9999,-9999,-350
2607,1878,-9999,-9999,-354
2608,1878,-9999,-9999,-361
2609,1878,-9999,-9999,-374
2610,1878,-9999,-9999,-386
2611,1878,-9999,-9999,-400
2612,1878,-9999,-9999,-407
2613,1878,-9999,-9999,-411
2614,1878,-9999,-9999,-417
2615,1878,-9999,-9999,-419
2616,1878,-9999,-9999,-420
2617,1878,-9999,-9999,-427
2618,1878,-9999,-9999,-429
2619,1878,-9999,-9999,-435
2620,1878,-9999,-9999,-438
2621,1878,-9999,-9999,-448
2622,1878,-9999,-9999,-453
2623,1878,-9999,-9999,-458
2624,1878,-9999,-9999,-464
2625,1878,-9999,-9999,-473
2626,1878,-9999,-9999,-479
2627,1878,-9999,-9999,-484
2628,1878,-9999,-9999,-490
2629,1878,-9999,-9999,-495
2630,1878,-9999,-9999,-501
2631,1878,-9999,-9999,-506
2632,1878,-9999,-9999,-512
2633,1878,-9999,-9999,-517
2634,1878,-9999,-9999,-522
2635,1878,-9999,-9999,-526
2636,1878,-9999,-9999,-531
2637,1878,-9999,-9999,-535
2638,1878,-9999,-9999,-539
2639,1878,15,75,-543
2640,1878,17,85,-546
2641,1878,20,98,-548
2642,1878,22,109,-549
2643,1878,23,118,-549
2644,1878,24,123,-550
2645,1878,25,133,-550
2646,1878,27,146,-549
2647,1878,27,146,-548
2648,1878,26,130,-545
2649,1878,24,111,-544
2650,1878,23,100,-542
2651,1878,24,102,-538
2652,1878,25,110,-534
2653,1878,26,117,-530
2654,1878,26,115,-526
2655,1878,25,107,-522
2656,1878,24,101,-518
2657,1878,24,100,-514
2658,1878,24,101,-509
2659,1878,24,100,-504
2660,1878,23,96,-499
2661,1878,24,96,-493
2662,1878,24,97,-488
2663,1878,24,97,-483
2664,1878,24,99,-479
2665,1878,24,99,-474
2666,1878,24,94,-470
2667,1878,23,84,-465
2668,1878,22,77,-459
2669,1878,21,70,-455
2670,1878,20,62,-450
2671,1878,20,54,-446
2672,1878,19,50,-442
2673,1878,19,45,-438
2674,1878,18,43,-433
2675,1878,19,43,-428
2676,1878,19,42,-424
2677,1878,20,50,-420
2678,1878,21,62,-415
2679,1878,23,79,-411
2680,1878,25,95,-407
2681,1878,26,101,-403
2592,1879,-9999,-9999,-303
2593,1879,-9999,-9999,-299
2594,1879,-9999,-9999,-300
2595,1879,-9999,-9999,-300
2596,1879,-9999,-9999,-300
2597,1879,-9999,-9999,-300
2598,1879,-9999,-9999,-300
2599,1879,-9999,-9999,-300
2600,1879,-9999,-9999,-302
2601,1879,-9999,-9999,-311
2602,1879,-9999,-9999,-322
2603,1879,-9999,-9999,-330
2604,1879,-9999,-9999,-338
2605,1879,-9999,-9999,-344
2606,1879,-9999,-9999,-348
2607,1879,-9999,-9999,-353
2608,1879,-9999,-9999,-360
2609,1879,-9999,-9999,-374
2610,1879,-9999,-9999,-389
2611,1879,-9999,-9999,-401
2612,1879,-9999,-9999,-409
2613,1879,-9999,-9999,-413
2614,1879,-9999,-9999,-421
2615,1879,-9999,-9999,-422
2616,1879,-9999,-9999,-424
2617,1879,-9999,-9999,-431
2618,1879,-9999,-9999,-434
2619,1879,-9999,-9999,-441
2620,1879,-9999,-9999,-444
2621,1879,-9999,-9999,-455
2622,1879,-9999,-9999,-466
2623,1879,-9999,-9999,-469
2624,1879,-9999,-9999,-472
2625,1879,-9999,-9999,-478
2626,1879,-9999,-9999,-484
2627,1879,-9999,-9999,-489
2628,1879,-9999,-9999,-494
2629,1879,-9999,-9999,-500
2630,1879,-9999,-9999,-505
2631,1879,-9999,-9999,-510
2632,1879,-9999,-9999,-516
2633,1879,-9999,-9999,-521
2634,1879,-9999,-9999,-526
2635,1879,-9999,-9999,-530
2636,1879,-9999,-9999,-535
2637,1879,-9999,-9999,-539
2638,1879,14,68,-543
2639,1879,16,81,-547
2640,1879,19,97,-549
2641,1879,22,114,-551
2642,1879,25,131,-552
2643,1879,26,144,-552
2644,1879,27,150,-552
2645,1879,28,154,-551
2646,1879,29,163,-550
2647,1879,27,147,-548
2648,1879,25,122,-546
2649,1879,23,99,-544
2650,1879,22,88,-541
2651,1879,22,90,-538
2652,1879,23,97,-534
2653,1879,24,105,-529
2654,1879,24,106,-525
2655,1879,24,102,-520
2656,1879,24,101,-516
2657,1879,24,105,-511
2658,1879,25,108,-507
2659,1879,25,107,-502
2660,1879,24,102,-496
2661,1879,24,98,-491
2662,1879,24,96,-485
2663,1879,24,97,-481
2664,1879,24,99,-476
2665,1879,24,99,-472
2666,1879,24,95,-467
2667,1879,23,87,-462
2668,1879,22,80,-457
2669,1879,22,74,-452
2670,1879,21,66,-447
2671,1879,20,60,-443
2672,1879,20,57,-438
2673,1879,20,53,-435
2674,1879,19,50,-431
2675,1879,19,48,-427
2676,1879,19,48,-422
2677,1879,20,51,-417
