Col,Row,Surface,Thickness,Bed
2646,1918,32,190,-367
2617,1936,26,163,-318
2634,1886,15,70,-553
2633,1889,19,83,-555
2650,1921,32,180,-349
2637,1881,12,55,-548
2608,1917,21,-9999,-284
2625,1969,24,-9999,-424
2612,1949,26,-9999,-341
2663,1925,24,104,-303
2664,1917,25,111,-337
2634,1953,25,-9999,-354
2638,1961,22,-9999,-353
2655,1909,21,77,-416
2654,1880,25,114,-523
2626,1905,19,-9999,-414
2643,1877,20,94,-547
2642,1920,33,203,-355
2629,1898,15,-9999,-490
2664,1932,37,229,-274
2668,1964,458,571,-113
2655,1946,24,122,-257
2598,1923,23,-9999,-297
2660,1900,26,117,-447
2648,1900,25,116,-495
2635,1906,24,125,-434
2656,1947,25,127,-248
2643,1971,20,-9999,-471
2647,1931,35,215,-317
2669,1915,19,55,-327
2640,1883,22,113,-561
2598,1901,22,-9999,-301
2677,1964,639,756,-117
2648,1930,34,201,-318
2607,1937,24,162,-312
2661,1932,37,226,-281
2669,1949,232,395,-163
2599,1974,25,-9999,-410
2678,1941,227,379,-152
2621,1958,27,-9999,-385
2666,1957,344,417,-73
2609,1894,16,-9999,-409
2653,1949,25,126,-268
2596,1928,22,-9999,-308
2613,1910,22,-9999,-299
2681,1942,337,446,-109
2600,1919,23,-9999,-290
2661,1902,25,108,-432
2604,1951,25,-9999,-322
2649,1902,25,111,-480
2670,1940,21,243,-235
2601,1959,25,-9999,-447
2605,1879,16,-9999,-344
2593,1911,20,-9999,-334
2658,1879,25,108,-507
2675,1967,615,773,-158
2662,1975,387,546,-159
2627,1892,16,-9999,-518
2672,1895,28,130,-402
2614,1886,16,-9999,-435
2676,1911,16,62,-313
2602,1918,20,-9999,-282
2675,1884,22,76,-412
2679,1916,13,51,-274
2622,1961,27,-9999,-394
2667,1948,121,309,-188
2610,1937,25,167,-313
2632,1949,27,-9999,-352
2619,1957,26,-9999,-388
2623,1941,27,117,-329
2594,1937,23,-9999,-300
2627,1922,27,139,-328
2602,1936,23,-9999,-309
2624,1932,28,154,-319
2632,1915,26,140,-361
2594,1907,20,-9999,-329
2628,1890,16,-9999,-526
2615,1880,16,-9999,-424
2616,1898,16,-9999,-455
2633,1932,27,136,-323
2603,1904,22,-9999,-299
2620,1970,27,-9999,-450
2671,1944,144,333,-189
2608,1930,26,162,-312
2659,1888,30,154,-493
2646,1946,26,139,-309
2663,1880,24,100,-479
2617,1964,26,-9999,-450
2634,1906,24,122,-431
2650,1893,28,146,-530
2637,1917,27,145,-361
2654,1957,20,118,-272
2625,1949,27,-9999,-346
2612,1905,22,-9999,-365
2663,1961,283,439,-156
2664,1881,25,104,-473
2651,1953,21,108,-287
2638,1925,29,161,-333
2655,1897,23,95,-489
2656,1881,27,128,-514
2626,1877,11,-9999,-471
2643,1905,26,134,-461
2642,1892,30,171,-556
2668,1936,30,190,-251
2673,1902,22,74,-366
2677,1902,21,66,-346
2656,1959,20,232,-266
2660,1943,26,154,-238
2647,1967,20,-9999,-382
2669,1887,26,114,-439
2644,1943,29,170,-315
2677,1920,20,84,-271
2607,1973,25,-9999,-402
2652,1974,59,268,-209
2595,1941,24,-9999,-301
2674,1926,30,158,-269
2661,1952,44,228,-184
2621,1881,15,-9999,-464
2649,1960,21,94,-319
2592,1917,23,-9999,-340
2596,1885,16,-9999,-300
2669,1921,34,197,-303
2595,1890,22,-9999,-300
2657,1881,27,132,-509
2599,1882,16,-9999,-301
2644,1909,26,129,-429
2681,1967,721,859,-138
2666,1945,18,229,-221
2609,1922,20,-9999,-301
2596,1964,25,-9999,-450
2601,1906,20,-9999,-300
2674,1896,27,121,-387
2600,1883,16,-9999,-306
2678,1888,26,109,-389
2604,1923,23,-9999,-295
2670,1968,519,692,-173
2630,1963,24,-9999,-349
2658,1928,31,173,-303
2601,1923,23,-9999,-294
2680,1924,21,86,-242
2622,1899,16,-9999,-466
2610,1875,16,-9999,-388
2597,1915,20,-9999,-297
2658,1915,25,113,-369
2675,1931,34,194,-259
2618,1938,27,166,-320
2662,1875,25,111,-498
2593,1932,22,-9999,-308
2672,1923,35,200,-286
2631,1912,29,165,-374
2602,1874,16,-9999,-348
2639,1961,22,-9999,-354
2667,1912,19,54,-352
2610,1973,25,-9999,-407
2623,1929,26,142,-318
2594,1973,25,-9999,-426
2631,1950,27,-9999,-353
2606,1876,16,-9999,-357
2628,1952,27,-9999,-350
2615,1950,26,-9999,-344
2605,1875,16,-9999,-351
2623,1903,18,-9999,-426
2611,1903,22,-9999,-375
2616,1943,26,85,-326
2641,1896,33,196,-533
2645,1888,29,165,-559
2617,1887,16,-9999,-459
2633,1960,24,-9999,-350
2603,1884,16,-9999,-338
2620,1878,13,-9999,-438
2637,1936,30,174,-323
2605,1966,25,-9999,-449
2659,1948,28,157,-226
2612,1958,26,-9999,-433
2646,1958,20,91,-330
2663,1916,23,97,-346
2634,1942,31,202,-332
2650,1913,25,117,-399
2638,1910,27,144,-410
2637,1889,26,139,-565
2654,1921,32,177,-343
2625,1913,24,129,-353
2612,1877,16,-9999,-403
2629,1937,26,135,-326
2664,1973,415,715,-300
2651,1933,36,222,-304
2668,1893,27,122,-431
2656,1893,28,134,-501
2680,1974,752,955,-203
2660,1877,23,90,-501
2647,1901,25,117,-489
2652,1908,24,101,-432
2598,1882,16,-9999,-300
2660,1931,36,221,-288
2647,1971,21,-9999,-453
2635,1931,26,133,-323
2657,1947,27,136,-242
2644,1963,20,-9999,-362
